,GTR,PR1,PR2,PR3,x,y
281,0.05511,0.01005,0.01222,0.01914,1.6083401471790677,0.09652000000000001
282,0.05551,0.01009,0.01226,0.01921,1.614063777596075,0.09706999999999999
283,0.05592,0.01014,0.0123,0.01928,1.6197874080130825,0.09764
284,0.05632,0.01019,0.01233,0.01935,1.62551103843009,0.09819000000000001
285,0.05673,0.01023,0.01237,0.01942,1.6312346688470973,0.09875
286,0.05714,0.01028,0.01241,0.01949,1.6369582992641045,0.09932
287,0.05755,0.01033,0.01244,0.01955,1.642681929681112,0.09987000000000001
288,0.05796,0.01038,0.01248,0.01962,1.6484055600981193,0.10043999999999999
289,0.05838,0.01042,0.01252,0.01969,1.6541291905151267,0.10101
290,0.05879,0.01047,0.01255,0.01976,1.659852820932134,0.10157000000000001
291,0.05921,0.01052,0.01259,0.01982,1.6655764513491413,0.10214
292,0.05962,0.01057,0.01263,0.01989,1.6713000817661487,0.10271000000000001
293,0.06004,0.01062,0.01266,0.01996,1.6770237121831562,0.10328
294,0.06046,0.01067,0.0127,0.02003,1.6827473426001636,0.10386
295,0.06089,0.01072,0.01274,0.02009,1.6884709730171708,0.10444
296,0.06131,0.01077,0.01278,0.02016,1.6941946034341782,0.10502
297,0.06173,0.01082,0.01281,0.02023,1.6999182338511856,0.10558999999999999
298,0.06216,0.01087,0.01285,0.02029,1.705641864268193,0.10616999999999999
299,0.06259,0.01093,0.01289,0.02036,1.7113654946852002,0.10677
300,0.06302,0.01098,0.01293,0.02043,1.7170891251022076,0.10736
301,0.06345,0.01103,0.01297,0.02049,1.722812755519215,0.10794000000000001
302,0.06388,0.01108,0.013,0.02056,1.7285363859362224,0.10852
303,0.06431,0.01114,0.01304,0.02062,1.7342600163532298,0.10911
304,0.06474,0.01119,0.01308,0.02069,1.739983646770237,0.10969999999999999
305,0.06518,0.01124,0.01312,0.02076,1.7457072771872444,0.11030000000000001
306,0.06562,0.0113,0.01316,0.02082,1.7514309076042518,0.1109
307,0.06605,0.01135,0.0132,0.02089,1.7571545380212592,0.11149
308,0.06649,0.01141,0.01324,0.02095,1.7628781684382664,0.11209
309,0.06693,0.01146,0.01328,0.02102,1.7686017988552738,0.11269
310,0.06738,0.01152,0.01332,0.02108,1.7743254292722812,0.11329999999999998
311,0.06782,0.01157,0.01336,0.02115,1.7800490596892886,0.1139
312,0.06827,0.01163,0.0134,0.02121,1.785772690106296,0.11451000000000001
313,0.06871,0.01169,0.01344,0.02128,1.7914963205233032,0.11512
314,0.06916,0.01174,0.01348,0.02134,1.7972199509403106,0.11571999999999999
315,0.06961,0.0118,0.01352,0.02141,1.802943581357318,0.11634
316,0.07006,0.01186,0.01356,0.02147,1.8086672117743254,0.11695000000000001
317,0.07051,0.01192,0.0136,0.02154,1.8143908421913326,0.11757000000000002
318,0.07096,0.01198,0.01364,0.0216,1.82011447260834,0.11817999999999998
319,0.07142,0.01204,0.01368,0.02167,1.8258381030253474,0.11881000000000001
320,0.07187,0.0121,0.01372,0.02173,1.8315617334423548,0.11942000000000001
321,0.07233,0.01216,0.01377,0.0218,1.8372853638593623,0.12006000000000001
322,0.07279,0.01222,0.01381,0.02186,1.8430089942763694,0.12067999999999998
323,0.07325,0.01228,0.01385,0.02193,1.8487326246933768,0.12131
324,0.07371,0.01234,0.01389,0.02199,1.8544562551103843,0.12193
325,0.07417,0.0124,0.01393,0.02206,1.8601798855273917,0.12256
326,0.07464,0.01247,0.01398,0.02212,1.8659035159443988,0.12320999999999999
327,0.0751,0.01253,0.01402,0.02218,1.8716271463614063,0.12383
328,0.07557,0.01259,0.01406,0.02225,1.8773507767784137,0.12447000000000001
329,0.07604,0.01266,0.01411,0.02231,1.883074407195421,0.12511999999999998
330,0.07651,0.01272,0.01415,0.02238,1.8887980376124285,0.12575999999999998
331,0.07698,0.01278,0.01419,0.02244,1.8945216680294357,0.12639
332,0.07745,0.01285,0.01424,0.02251,1.900245298446443,0.12705
333,0.07792,0.01292,0.01428,0.02257,1.9059689288634505,0.12769
334,0.07839,0.01298,0.01432,0.02264,1.911692559280458,0.12833
335,0.07887,0.01305,0.01437,0.0227,1.917416189697465,0.12899
336,0.07935,0.01312,0.01441,0.02276,1.9231398201144725,0.12964
337,0.07983,0.01318,0.01446,0.02283,1.92886345053148,0.1303
338,0.0803,0.01325,0.0145,0.02289,1.9345870809484873,0.13093999999999997
339,0.08079,0.01332,0.01455,0.02296,1.9403107113654947,0.13162000000000001
340,0.08127,0.01339,0.01459,0.02302,1.946034341782502,0.13227
341,0.08175,0.01346,0.01464,0.02309,1.9517579721995093,0.13294
342,0.08224,0.01353,0.01468,0.02315,1.9574816026165167,0.1336
343,0.08272,0.0136,0.01473,0.02321,1.9632052330335241,0.13426000000000002
344,0.08321,0.01367,0.01477,0.02328,1.9689288634505313,0.13493000000000002
345,0.0837,0.01374,0.01482,0.02334,1.9746524938675387,0.1356
346,0.08419,0.01382,0.01487,0.02341,1.9803761242845461,0.13629
347,0.08468,0.01389,0.01491,0.02347,1.9860997547015535,0.13695000000000002
348,0.08517,0.01396,0.01496,0.02354,1.991823385118561,0.13763
349,0.08566,0.01404,0.01501,0.0236,1.9975470155355681,0.13831000000000002
350,0.08616,0.01411,0.01505,0.02367,2.0032706459525755,0.13899
351,0.08665,0.01419,0.0151,0.02373,2.0089942763695827,0.13967
352,0.08715,0.01426,0.01515,0.0238,2.0147179067865904,0.14036
353,0.08765,0.01434,0.0152,0.02386,2.0204415372035975,0.14105
354,0.08815,0.01442,0.01525,0.02393,2.026165167620605,0.14175000000000001
355,0.08865,0.0145,0.01529,0.02399,2.0318887980376124,0.14243
356,0.08915,0.01457,0.01534,0.02406,2.0376124284546195,0.14312
357,0.08966,0.01465,0.01539,0.02412,2.043336058871627,0.14382
358,0.09016,0.01473,0.01544,0.02419,2.0490596892886344,0.14452
359,0.09067,0.01481,0.01549,0.02425,2.054783319705642,0.14522
360,0.09117,0.01489,0.01554,0.02432,2.060506950122649,0.14592000000000002
361,0.09168,0.01498,0.01559,0.02438,2.0662305805396564,0.14663
362,0.09219,0.01506,0.01564,0.02445,2.071954210956664,0.14734
363,0.0927,0.01514,0.01569,0.02451,2.077677841373671,0.14804
364,0.09322,0.01522,0.01574,0.02458,2.0834014717906784,0.14876
365,0.09373,0.01531,0.01579,0.02464,2.089125102207686,0.14947
366,0.09424,0.01539,0.01584,0.02471,2.094848732624693,0.15018
367,0.09476,0.01548,0.01589,0.02478,2.100572363041701,0.15091
368,0.09528,0.01557,0.01594,0.02484,2.106295993458708,0.15163000000000001
