Neutrino energy,discrete levels,only GTR,total
3.0300000000000002,9.452883505624857,0.0008558067995293486,9.453739312424387
3.04,9.555452311230109,0.0008801741344442449,9.556332485364553
3.0500000000000003,9.658574439084726,0.0009045414693591421,9.659478980554084
3.06,9.762184402679758,0.0009289088042740382,9.763113311484032
3.0700000000000003,9.866371319848216,0.0009532761391889354,9.867324595987405
3.08,9.97246041034244,0.0009776434741038315,9.973438053816544
3.09,10.079679044712869,0.0010020108090187277,10.080681055521888
3.1,10.195763327762911,0.001026378143933625,10.196789705906845
3.11,10.303293612730014,0.0010507454788485212,10.304344358208862
3.12,10.411090312612332,0.0010751128137634184,10.412165425426096
3.13,10.519828420487364,0.0011036240263619637,10.520932044513726
3.14,10.62878469217009,0.0011341762533420097,10.629918868423431
3.15,10.738616090161933,0.0011647284803220543,10.739780818642256
3.16,10.848784261662901,0.0011952807073021,10.849979542370203
3.17,10.959667964899202,0.0012258329342821448,10.960893797833483
3.18,11.071039620875776,0.0012563851612621907,11.072296006037039
3.19,11.182876335905503,0.0012869373882422354,11.184163273293745
3.2,11.295803708330201,0.0013174896152222811,11.297121197945422
3.21,11.409280639501388,0.0013480418422023258,11.41062868134359
3.22,11.523153185545668,0.0013785940691823718,11.52453177961485
3.23,11.637625618127311,0.0014144433011487225,11.63904006142846
3.24,11.752648723083535,0.0014529015057202707,11.754101624589255
3.25,11.868103691010347,0.0014913597102918172,11.869595050720639
3.2600000000000002,11.984221125967629,0.0015298179148633653,11.985750943882492
3.27,12.103039296200013,0.0015682761194349116,12.104607572319448
3.2800000000000002,12.231826951173986,0.0016067343240064598,12.233433685497992
3.29,12.357919617763578,0.0016451925285780062,12.359564810292156
3.3000000000000003,12.477165875374652,0.0016836507331495544,12.478849526107801
3.31,12.597659478905365,0.0017221089377211008,12.599381587843087
3.3200000000000003,12.718190153570914,0.0017605671422926488,12.719950720713207
3.33,12.839663035703818,0.00180560240092897,12.841468638104747
3.34,12.961492965737616,0.0018538771041046586,12.963346842841721
3.35,13.083877177509379,0.001902151807280349,13.08577932931666
3.36,13.207037415044594,0.0019504265104560374,13.20898784155505
3.37,13.33080024039914,0.001998701213631728,13.332798941612772
3.38,13.456384383642432,0.0020469759168074164,13.458431359559238
3.39,13.586351684812163,0.002095250619983107,13.588446935432145
3.4,13.716655366947831,0.002143525323158795,13.718798892270991
3.41,13.843293948994623,0.002191800026334486,13.845485749020957
3.42,13.970815950163434,0.0022400747295101744,13.973056024892944
3.43,14.098660845709972,0.0022962557427078307,14.10095710145268
3.44,14.227165747871723,0.0023563309086028707,14.229522078780326
3.45,14.356346415106277,0.0024164060744979133,14.358762821180775
3.46,14.486064910214768,0.0024764812403929534,14.488541391455161
3.47,14.620906082120493,0.0025365564062879964,14.62344263852678
3.48,14.780967463220373,0.0025966315721830365,14.783564094792556
3.49,14.926410083048347,0.002656706738078079,14.929066789786425
3.5,15.059366041740276,0.002716781903973119,15.06208282364425
3.5100000000000002,15.194897026833734,0.0027768570698681622,15.197673883903603
3.52,15.329621063829093,0.0028369322357632023,15.332457996064855
3.5300000000000002,15.469422496096001,0.0029067155869552863,15.472329211682956
3.54,15.61117974859553,0.00298128058165188,15.614161029177183
3.5500000000000003,15.775848677841237,0.003055845576348477,15.778904523417586
3.56,15.916608468971,0.0031304105710450703,15.919738879542045
3.5700000000000003,16.056087340060614,0.003204975565741667,16.059292315626355
3.58,16.197306312021322,0.0032795405604382605,16.20058585258176
3.59,16.339618739927005,0.0033541055551348543,16.34297284548214
3.6,16.487906020402548,0.003428670549831451,16.491334690952378
3.61,16.633496947729334,0.0035032355445280446,16.637000183273862
3.62,16.779124744548632,0.0035778005392246414,16.782702545087858
3.63,16.932080207326706,0.0036643283359018156,16.935744535662607
