energy;sum_spectrum
7.95;544912.3146
7.96;544249.1116
7.97;543584.8197
7.98;542920.5278
7.99;542247.8961
8.0;541575.2644
8.01;540894.0294
8.02;540212.7944
8.03;539521.2291
8.04;538829.6638
8.05;538130.2095
8.06;537430.7552
8.07;536729.7231
8.08;536028.691
8.09;535319.3191
8.1;534609.9472
8.11;533893.0228
8.12;533174.8603
8.13;532446.7802
8.14;531718.7001
8.15;530984.5342
8.16;530250.3683
8.17;529513.4976
8.18;528776.6269
8.19;528031.4164
8.2;527286.2059
8.21;526532.6556
8.22;525779.1053
8.23;525015.1866
8.24;524251.6806
8.25;523484.3428
8.26;522717.005
8.27;521945.6481
8.28;521174.2912
8.29;520394.8199
8.3;519615.3486
8.31;518827.3121
8.32;518039.2756
8.33;517240.8707
8.34;516442.4658
8.35;515642.9339
8.36;514843.402
8.37;514038.6859
8.38;513233.9698
8.39;512421.3647
8.4;511608.7596
8.41;510787.8147
8.42;509966.8698
8.43;509135.5184
8.44;508303.7543
8.45;507473.7934
8.46;506643.4198
8.47;505806.2842
8.48;504969.5613
8.49;504125.1748
8.5;503280.7883
8.51;502428.2874
8.52;501575.7865
8.53;500712.6918
8.54;499849.5971
8.55;498989.4326
8.56;498129.2681
8.57;497261.6654
8.58;496394.4754
8.59;495519.2472
8.6;494644.019
8.61;493760.8637
8.62;492877.7084
8.63;491985.9879
8.64;491094.2674
8.65;490204.5755
8.66;489314.8836
8.67;488417.9789
8.68;487521.0742
8.69;486616.544
8.7;485712.0138
8.71;484799.5565
8.72;483887.0992
8.73;482968.2926
8.74;482048.6606
8.75;481130.1556
8.76;480212.0633
8.77;479287.4344
8.78;478362.8055
8.79;477430.7384
8.8;476498.2586
8.81;475558.1152
8.82;474618.3845
8.83;473673.2442
8.84;472728.1039
8.85;471783.189
8.86;470837.8614
8.87;469885.7718
8.88;468934.5076
8.89;467976.0687
8.9;467017.6298
8.91;466050.213
8.92;465082.7962
8.93;464113.5381
8.94;463144.28
8.95;462173.0314
8.96;461201.7828
8.97;460224.8611
8.98;459247.9394
8.99;458263.6176
9.0;457279.2958
9.01;456287.0469
9.02;455294.798
9.03;454302.1364
9.04;453309.4748
9.05;452315.3846
9.06;451320.469
9.07;450319.4676
9.08;449318.8789
9.09;448311.7536
9.1;447304.2156
9.11;446287.2108
9.12;445270.206
9.13;444257.033
9.14;443244.2727
9.15;442227.2298
9.16;441209.7742
9.17;440186.4582
9.18;439163.5549
9.19;438134.115
9.2;437104.2624
9.21;436065.6192
9.22;435026.976
9.23;433994.1551
9.24;432961.3342
9.25;431922.691
9.26;430884.0478
9.27;429839.7696
9.28;428795.4914
9.29;427744.902
9.3;426694.3126
9.31;425636.9231
9.32;424579.5336
9.33;423526.4648
9.34;422473.396
9.35;421415.143
9.36;420356.89
9.37;419293.4528
9.38;418230.4283
9.39;417160.8672
9.4;416090.8934
9.41;415015.7354
9.42;413940.5774
9.43;412869.4766
9.44;411798.3758
9.45;410722.3162
9.46;409646.2566
9.47;408565.0128
9.48;407483.769
9.49;406396.4394
9.5;405309.1098
9.51;404218.8119
9.52;403128.514
9.53;402040.7336
9.54;400952.9532
9.55;399860.8902
9.56;398768.8272
9.57;397671.58
9.58;396574.3328
9.59;395470.549
9.6;394366.7652
9.61;393262.5306
9.62;392158.296
9.63;391055.6392
9.64;389952.9824
9.65;388846.043
9.66;387739.1036
9.67;386627.4308
9.68;385515.758
9.69;384397.3232
9.7;383278.8884
9.71;382162.7076
9.72;381046.5268
9.73;379930.5714
9.74;378814.616
9.75;377694.378
9.76;376574.14
9.77;375449.394
9.78;374324.2353
9.79;373191.8638
9.8;372059.905
9.81;370934.032
9.82;369808.159
9.83;368680.4828
9.84;367552.8066
9.85;366421.0732
9.86;365289.3398
9.87;364153.5492
9.88;363017.7586
9.89;361873.8917
9.9;360730.0248
9.91;359595.5866
9.92;358461.1484
9.93;357323.3292
9.94;356185.51
9.95;355044.0844
9.96;353902.6588
9.97;352756.9506
9.98;351610.8297
9.99;350459.2992
10.0;349308.1814
10.01;348164.3526
10.02;347021.3492
10.03;345875.1902
10.04;344729.0312
10.05;343579.7166
10.06;342430.402
10.07;341276.8048
10.08;340123.2076
10.09;338966.2294
10.1;337809.2512
10.11;336658.35246
10.12;335508.27912
10.13;334355.50098
10.14;333202.72284
10.15;332047.0145
10.16;330891.30616
10.17;329731.08982
10.18;328570.87348
10.19;327409.75554
10.2;326248.6376
10.21;325092.0372
10.22;323937.0876
10.23;322779.4332
10.24;321621.7788
10.25;320461.4196
10.26;319301.0604
10.27;318135.9678
10.28;316970.8752
10.29;315808.0366
10.3;314645.198
10.31;313484.90866
10.32;312326.27012
10.33;311165.60298
10.34;310004.93584
10.35;308841.5639
10.36;307678.19196
10.37;306509.63582
10.38;305341.07968
10.39;304178.15854
10.4;303015.2374
10.41;301852.6274
10.42;300692.4936
10.43;299530.5566
10.44;298368.6196
10.45;297203.9778
10.46;296039.336
10.47;294868.8338
10.48;293698.3316
10.49;292538.1978
10.5;291378.064
10.51;290215.59686
10.52;289055.60592
10.53;287893.81178
10.54;286732.01764
10.55;285567.7441
10.56;284403.47056
10.57;283233.78742
10.58;282064.10428
10.59;280907.04354
10.6;279749.9828
10.61;278589.4014
10.62;277431.2962
10.63;276271.8386
10.64;275112.381
10.65;273950.444
10.66;272788.507
10.67;271623.189
10.68;270457.871
10.69;269304.4992
10.7;268151.1274
10.71;266993.46986
10.72;265839.11392
10.73;264683.40558
10.74;263527.69724
